"","Mean_log_prey_mass","Median_log_prey_mass","Mean_log_pred_mass","Median_log_pred_mass","Mean_size_ratio","Median_size_ratio"
"insectivorous",-9.88425018851949,-10.0267857688806,-0.19768531886863,-0.155625491649087,-9.68656486965086,-9.52333765087504
"piscivorous",1.63552827510992,1.81807677754543,7.71223438647515,7.97246601597457,-6.07670611136523,-5.61677109766657
"planktivorous",-12.5130564338295,-13.9524764130374,-2.8444155291803,-3.83506196429202,-9.66864090464924,-9.83051853266954
"predacious",-3.46728830472342,-1.66600826392249,4.77986971956941,6.4118182677099,-8.24715802429282,-8.32505158844131
"predacious/piscivorous",2.41088614444964,2.61006979274201,6.06403752213459,6.38012253689976,-3.65315137768494,-3.71028336277709
