"","ID","AIC_quadratic","BIC_quadratic","AIC_logistic","BIC_logistic","r_max","K","N_0"
"1",1,-199.276666694197,-193.947848653496,-98.5479591236213,-93.2191410829205,0.00212909755685832,-2987938.23429017,0.0805585794408477
"2",2,-66.8832417109898,-61.554423670289,-40.3362655719825,-35.0074475312817,0.000632177389615505,-928111.921807092,0.4126660058289
"3",3,-60.5809327938245,-55.2521147531237,-31.2109328370741,-25.8821147963733,0.000693180965079137,-3688648.76366924,0.326293448525923
"4",4,-75.5929688156776,-69.988179289029,-15.9801613678033,-10.3753718411547,0.000384091678097216,-1192606.8466698,0.337642023198701
"5",5,-258.467681026293,-253.435294874207,-254.563176447942,-249.530790295856,-0.000901987286255563,-12271.1398074702,0.00468855757061498
"6",6,-173.65037121341,-168.321553172709,-82.0554513832189,-76.7266333425181,0.00212126447340528,-6410252.14736071,0.115517390595008
"7",7,-116.034241302812,-110.705423262111,-64.3184422825233,-58.9896242418225,0.000907840997055542,-531107.690635288,0.147109951618335
"8",8,-165.45959000911,-160.130771968409,-101.622158307597,-96.2933402668959,0.00186989769949247,-2830449.94450634,0.0551893875475824
"9",9,-217.844192704747,-212.515374664046,-140.637095364608,-135.308277323907,0.00134106873972358,-539421.49943599,0.0569445191281586
"10",10,-219.789372260331,-214.460554219631,-215.358810588258,-210.029992547557,0.0129794020678568,0.105137080718127,0.0143922277117294
"11",11,-142.26990940364,-136.941091362939,-81.0604623787893,-75.7316443380885,0.00120650670645362,-674501.05303131,0.109975539056288
"12",12,-164.746886418652,-159.418068377951,-82.7792753065011,-77.4504572658003,0.00180318222891211,-1483684.77742157,0.0948419751472203
"13",13,-108.166708643146,-102.837890602445,-58.1847799755829,-52.8559619348821,0.000978268596370605,-1124752.28312676,0.228018648084288
"14",14,-264.227056505227,-258.898238464526,-233.389308251919,-228.060490211218,-0.000258135452194694,967.477095424889,0.00942895407432767
"15",15,-244.549658419756,-239.220840379055,-255.088936360191,-249.76011831949,0.00668841419754147,215317.268112812,0.000407095470909429
"16",16,-86.5936601023523,-81.2648420616515,-36.8765207871981,-31.5477027464973,0.00125535606229878,-1333402.96152769,0.210556167456579
